model,taxonomy,num,homogeneity,completeness,v_measure, nmi
EVO2,order,0,0.5439379527917666,0.6695664123601558,0.6002493176886352,0.6002493176886353
EVO2,order,1,0.6042430432972804,0.7036967835158285,0.6501887584020621,0.6501887584020623
EVO2,order,2,0.668840364398222,0.7360194666218087,0.700823694136211,0.700823694136211
EVO2,order,3,0.5590804087746892,0.6576446819686684,0.6043703058657434,0.6043703058657433
EVO2,order,4,0.6161680920857194,0.7042861496314426,0.6572869235309047,0.6572869235309047
EVO2,family,0,0.657574524660236,0.757161108331406,0.703862749041514,0.703862749041514
EVO2,family,1,0.6900532618888602,0.7841346705798629,0.7340918688537172,0.7340918688537174
EVO2,family,2,0.5746628797606125,0.6750529351801446,0.6208257254708195,0.6208257254708196
EVO2,family,3,0.5800865131801218,0.6776070961699551,0.6250659696465488,0.6250659696465487
EVO2,family,4,0.6018358643746493,0.6859780191542578,0.6411581353175331,0.6411581353175332
EVO2,species,0,0.8574944615999922,0.9102137887819376,0.8830679865682832,0.8830679865682831
EVO2,species,1,0.8230645356649127,0.8772375905336232,0.8492880635685993,0.8492880635685994
EVO2,species,2,0.792172065864838,0.8569444987121917,0.8232862472647077,0.8232862472647077
EVO2,species,3,0.8182089626896301,0.8828588392330006,0.8493053765802328,0.8493053765802328
EVO2,species,4,0.7873724155766562,0.8438454233784034,0.8146313674504445,0.8146313674504446
EVO2,genus,0,0.6449528781445703,0.7350371613020479,0.687054716590668,0.6870547165906681
EVO2,genus,1,0.7294893125133997,0.7988168145356603,0.762580635575842,0.7625806355758419
EVO2,genus,2,0.7526144737801124,0.8166610874804293,0.7833308180968128,0.7833308180968128
EVO2,genus,3,0.7390543826729881,0.8165602484791954,0.7758765162913356,0.7758765162913355
EVO2,genus,4,0.8078624537058645,0.8400967222622762,0.8236643350079896,0.8236643350079897
EVO2,class,0,0.5873091097678498,0.6727174675341376,0.6271186720977644,0.6271186720977645
EVO2,class,1,0.5940411952769589,0.6786245817845153,0.6335221155053141,0.6335221155053141
EVO2,class,2,0.5731314367329269,0.6604140051813112,0.6136847736079218,0.6136847736079218
EVO2,class,3,0.5599354958681838,0.6623642478351086,0.6068581057429034,0.6068581057429032
EVO2,class,4,0.6000156825768399,0.6806541018068836,0.6377961602192599,0.6377961602192599
