model,taxonomy,num,homogeneity,completeness,v_measure, nmi
PROGEN2_LARGE,order,0,0.706138519378569,0.7864232247698181,0.7441216200549622,0.7441216200549622
PROGEN2_LARGE,order,1,0.7050495628488428,0.7818802424242621,0.7414799557671415,0.7414799557671418
PROGEN2_LARGE,order,2,0.7106937768516957,0.7857429870464666,0.7463364501205063,0.7463364501205063
PROGEN2_LARGE,order,3,0.6461899837910081,0.7365173691969001,0.6884032920410786,0.6884032920410785
PROGEN2_LARGE,order,4,0.6151541200665244,0.7105478547109421,0.6594188567958309,0.6594188567958309
PROGEN2_LARGE,family,0,0.758242709013487,0.829723728352301,0.7923743886706578,0.7923743886706578
PROGEN2_LARGE,family,1,0.7820113225392782,0.8451312946043209,0.8123470363932226,0.8123470363932226
PROGEN2_LARGE,family,2,0.6887737195953048,0.7690993524332143,0.7267236522541415,0.7267236522541415
PROGEN2_LARGE,family,3,0.70615855106133,0.7919138034030215,0.7465817018918252,0.7465817018918253
PROGEN2_LARGE,family,4,0.7407963315451456,0.8042664227782705,0.771227723808513,0.771227723808513
PROGEN2_LARGE,species,0,0.8921134826892001,0.9268315213323962,0.909141171980323,0.909141171980323
PROGEN2_LARGE,species,1,0.8658591232449292,0.9138723322912522,0.8892180828001505,0.8892180828001505
PROGEN2_LARGE,species,2,0.8118478846755048,0.8920131938675637,0.8500446822381212,0.8500446822381212
PROGEN2_LARGE,species,3,0.841611759375976,0.9022377189940736,0.8708708904941818,0.8708708904941816
PROGEN2_LARGE,species,4,0.8131076651567336,0.859703186625083,0.835756475467555,0.8357564754675552
PROGEN2_LARGE,genus,0,0.709327216058052,0.7993767535532478,0.7516646056489596,0.7516646056489596
PROGEN2_LARGE,genus,1,0.7410958611825798,0.8144857058476206,0.7760595759030682,0.7760595759030682
PROGEN2_LARGE,genus,2,0.8147007507169051,0.8670794802042615,0.8400744526134802,0.8400744526134802
PROGEN2_LARGE,genus,3,0.7546287383351906,0.8602075054113794,0.8039667266929705,0.8039667266929705
PROGEN2_LARGE,genus,4,0.8515873849710179,0.9014839593181867,0.875825584634561,0.875825584634561
PROGEN2_LARGE,class,0,0.6829724954801031,0.7566771077906425,0.7179381030027663,0.7179381030027663
PROGEN2_LARGE,class,1,0.6457789300048822,0.7312642445551014,0.6858681704740572,0.6858681704740572
PROGEN2_LARGE,class,2,0.6869035923801206,0.756409171553616,0.7199827926877588,0.7199827926877588
PROGEN2_LARGE,class,3,0.6352195775057913,0.7192856246777883,0.6746438623893722,0.6746438623893724
PROGEN2_LARGE,class,4,0.6758478003505131,0.7504208888523163,0.711184801163072,0.7111848011630721
