dataset,model,tier2_spearman,tier2_pearson,tier2_kendall,linear_probe_spearman,linear_probe_pearson,linear_probe_kendall,runtime,full_runtime
OTU7A_HUMAN_Tsuboyama_2023_2L2D,MAMBA664,0.4772882537527151,0.4356473929969119,0.33658347831767854,0,0,0,5.034329652786255,17.140596628189087
SQSTM_MOUSE_Tsuboyama_2023_2RRU,MAMBA664,0.7231952482617171,0.7069944549189995,0.5444131855891147,0,0,0,2.109039068222046,16.495659351348877
VG08_BPP22_Tsuboyama_2023_2GP8,MAMBA664,0.5952949110500562,0.5734137372446562,0.43868221325370327,0,0,0,1.930290699005127,16.478880167007446
PIN1_HUMAN_Tsuboyama_2023_1I6C,MAMBA664,0.5561475048600272,0.5761300429654164,0.4018043833838853,0,0,0,2.9335741996765137,18.89571785926819
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,MAMBA664,0.3933755750947626,0.20102795960506065,0.28032558662141044,0,0,0,0.1784834861755371,2.740999698638916
GLPA_HUMAN_Elazar_2016,MAMBA664,0.4223738204638699,0.41081389022459786,0.3196122603366218,0,0,0,0.22440576553344727,3.9962525367736816
TCRG1_MOUSE_Tsuboyama_2023_1E0L,MAMBA664,0.80367547701347,0.8071894337941219,0.6163669676114729,0,0,0,6.0925822257995605,29.043042182922363
AICDA_HUMAN_Gajula_2014_3cycles,MAMBA664,-0.07590239042927992,-0.07417741636725436,-0.040926415579171795,0,0,0,0.23073434829711914,3.147721767425537
SAV1_MOUSE_Tsuboyama_2023_2YSB,MAMBA664,0.6083698317024617,0.5573886949703364,0.4420815027583194,0,0,0,4.675595998764038,25.796916007995605
RD23A_HUMAN_Tsuboyama_2023_1IFY,MAMBA664,0.57214602002542,0.5437425227477143,0.4214737234715326,0,0,0,4.967823505401611,27.283714532852173
RAD_ANTMA_Tsuboyama_2023_2CJJ,MAMBA664,0.5053319812218419,0.5012003035235073,0.3635914409233079,0,0,0,3.981440305709839,23.171667337417603
ODP2_GEOSE_Tsuboyama_2023_1W4G,MAMBA664,0.6411003368085108,0.7510348639565305,0.4772261748198123,0,0,0,6.977646589279175,31.040117979049683
THO1_YEAST_Tsuboyama_2023_2WQG,MAMBA664,0.6435840818761067,0.6456603587249098,0.4625312921698957,0,0,0,10.148725748062134,37.250797271728516
DN7A_SACS2_Tsuboyama_2023_1JIC,MAMBA664,0.567631136092756,0.495523266457768,0.40126189751487623,0,0,0,5.261705636978149,26.962520599365234
OPSD_HUMAN_Wan_2019,MAMBA664,0.24947802186123327,0.39592495553308216,0.17373801329116792,0,0,0,0.6702840328216553,3.132519483566284
HCP_LAMBD_Tsuboyama_2023_2L6Q,MAMBA664,0.6739307314091594,0.6632423939715412,0.49039739892485174,0,0,0,5.756588459014893,28.61624550819397
SBI_STAAM_Tsuboyama_2023_2JVG,MAMBA664,0.6522418373526322,0.654774217386793,0.46740703860288185,0,0,0,5.297714710235596,27.864492893218994
SOX30_HUMAN_Tsuboyama_2023_7JJK,MAMBA664,0.5725099452299705,0.561560838187956,0.4071133063498564,0,0,0,4.920774459838867,26.9456524848938
VRPI_BPT7_Tsuboyama_2023_2WNM,MAMBA664,0.5656987487635999,0.5853220309917382,0.4021225208706325,0,0,0,5.485694885253906,28.44217586517334
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAMBA664,0.7364014277419474,0.7553424396272935,0.5527170366003231,0,0,0,13.917365789413452,44.31119632720947
ENVZ_ECOLI_Ghose_2023,MAMBA664,0.24101310572271253,0.3906005970174317,0.16349560403510596,0,0,0,6.862454414367676,31.681108236312866
RBP1_HUMAN_Tsuboyama_2023_2KWH,MAMBA664,0.5141495571018403,0.5960243134091431,0.3750464227354086,0,0,0,11.403792142868042,40.182743310928345
RCD1_ARATH_Tsuboyama_2023_5OAO,MAMBA664,0.5705914212450146,0.5553047579069684,0.41059743812647825,0,0,0,9.507875680923462,37.284173011779785
RFAH_ECOLI_Tsuboyama_2023_2LCL,MAMBA664,0.4228832563544441,0.41175831490363035,0.29833418908147324,0,0,0,10.917714357376099,40.09225583076477
RS15_GEOSE_Tsuboyama_2023_1A32,MAMBA664,0.6505516019988742,0.7064285334828275,0.47410516622661214,0,0,0,8.170928716659546,34.594558000564575
NUSG_MYCTU_Tsuboyama_2023_2MI6,MAMBA664,0.6381086491586334,0.6681942976407714,0.4710678554573236,0,0,0,12.708288192749023,42.67821025848389
SR43C_ARATH_Tsuboyama_2023_2N88,MAMBA664,0.7199876316722004,0.7181256956762043,0.5268518958704108,0,0,0,19.544471502304077,53.13238167762756
NPC1_HUMAN_Erwood_2022_RPE1,MAMBA664,-0.3970964449408596,-0.41915777438222934,-0.2754491154759396,0,0,0,0.27462339401245117,1.082733154296875
SPG2_STRSG_Tsuboyama_2023_5UBS,MAMBA664,0.7265361237974203,0.7159322904291106,0.5363344545485609,0,0,0,15.326552391052246,48.397074460983276
BCHB_CHLTE_Tsuboyama_2023_2KRU,MAMBA664,0.5587539999854912,0.5231976201030213,0.4043940325905867,0,0,0,18.96017026901245,53.26433277130127
RPC1_LAMBD_Li_2019_high-expression,MAMBA664,0.1036943090368968,0.10362412293088209,0.06727029821602516,0,0,0,0.5537543296813965,6.793372392654419
RPC1_LAMBD_Li_2019_low-expression,MAMBA664,0.2100069916914297,0.1408907030625977,0.1406560780880526,0,0,0,0.7351081371307373,6.716617584228516
CUE1_YEAST_Tsuboyama_2023_2MYX,MAMBA664,0.6332927069551225,0.6231953290485076,0.47244902506982217,0,0,0,20.008389949798584,54.51799392700195
UBR5_HUMAN_Tsuboyama_2023_1I2T,MAMBA664,0.5606894552528666,0.5618444636853621,0.40828595137574675,0,0,0,14.806896686553955,46.25323534011841
SCIN_STAAR_Tsuboyama_2023_2QFF,MAMBA664,0.6149977943328353,0.6665713216364815,0.4433959959390227,0,0,0,8.63204550743103,35.25042533874512
FKBP3_HUMAN_Tsuboyama_2023_2KFV,MAMBA664,0.5550468350943566,0.5350771946069365,0.40247358585755455,0,0,0,9.472856760025024,35.959341287612915
RL20_AQUAE_Tsuboyama_2023_1GYZ,MAMBA664,0.7297567012019842,0.8373799723188927,0.5442937214931183,0,0,0,15.959686279296875,47.614548206329346
TNKS2_HUMAN_Tsuboyama_2023_5JRT,MAMBA664,0.6515443831808724,0.6340399454038668,0.47683984907869026,0,0,0,15.967819690704346,47.45179343223572
ARGR_ECOLI_Tsuboyama_2023_1AOY,MAMBA664,0.5518971601149399,0.6000448324897805,0.3980248351846575,0,0,0,10.335489988327026,38.73747897148132
RPC1_BP434_Tsuboyama_2023_1R69,MAMBA664,0.5960926474999485,0.5912755729373997,0.4361087758268651,0,0,0,15.873262166976929,47.4978449344635
YNZC_BACSU_Tsuboyama_2023_2JVD,MAMBA664,0.7421106101187909,0.7981743400186885,0.5548257831293365,0,0,0,72.1423614025116,120.94345164299011
PKN1_HUMAN_Tsuboyama_2023_1URF,MAMBA664,0.4722891794232453,0.4586634812116045,0.33672956852868985,0,0,0,10.485917568206787,39.2753267288208
ILF3_HUMAN_Tsuboyama_2023_2L33,MAMBA664,0.4027293734655511,0.5306867040945311,0.2797030933364746,0,0,0,12.130714178085327,41.98475432395935
PITX2_HUMAN_Tsuboyama_2023_2L7M,MAMBA664,0.7133962057871486,0.7142165916398154,0.5192506887136693,0,0,0,31.9058518409729,71.98043131828308
IF1_ECOLI_Kelsic_2016,MAMBA664,0.5102552349361065,0.4864397211929884,0.3764688999791949,0,0,0,12.286481380462646,41.67017221450806
YAIA_ECOLI_Tsuboyama_2023_2KVT,MAMBA664,0.6951159045931574,0.6871739571871492,0.5175020934111648,0,0,0,35.89046859741211,76.85130429267883
SRBS1_HUMAN_Tsuboyama_2023_2O2W,MAMBA664,0.7562258815296848,0.737851295339792,0.5734407858662359,0,0,0,18.887414693832397,53.49766397476196
ISDH_STAAW_Tsuboyama_2023_2LHR,MAMBA664,0.6325817488964416,0.6003806014947572,0.45073770962987225,0,0,0,38.26313328742981,81.11523270606995
PSAE_SYNP2_Tsuboyama_2023_1PSE,MAMBA664,0.6265465124633346,0.6328932160982895,0.4443760852720311,0,0,0,19.436228036880493,54.35676407814026
VKOR1_HUMAN_Chiasson_2020_activity,MAMBA664,0.20303102009496368,0.22086079359817604,0.1438704014050374,0,0,0,1.9077942371368408,16.796752214431763
CBX4_HUMAN_Tsuboyama_2023_2K28,MAMBA664,0.782637108038066,0.788047974902125,0.592635316542139,0,0,0,68.89564180374146,118.97304391860962
SPA_STAAU_Tsuboyama_2023_1LP1,MAMBA664,0.6118719848419735,0.6217307077360172,0.44961874565973575,0,0,0,49.78911590576172,96.75721716880798
CCDB_ECOLI_Adkar_2012,MAMBA664,0.7183029646190191,0.7570206723432233,0.5709325640377948,0,0,0,7.844183683395386,34.20806050300598
SDA_BACSU_Tsuboyama_2023_1PV0,MAMBA664,0.7629292609781597,0.7985445954628845,0.582208440550644,0,0,0,135.25720858573914,194.7384593486786
PR40A_HUMAN_Tsuboyama_2023_1UZC,MAMBA664,0.7785287053004237,0.7924789300243114,0.5919566563262321,0,0,0,44.02958536148071,88.74241876602173
EPHB2_HUMAN_Tsuboyama_2023_1F0M,MAMBA664,0.8041137110925516,0.827695444447652,0.6073223809793197,0,0,0,39.806463956832886,83.12637257575989
LYAM1_HUMAN_Elazar_2016,MAMBA664,0.40269202037416824,0.3851541074067244,0.26988566861706037,0,0,0,1.6115498542785645,6.7301905155181885
BBC1_YEAST_Tsuboyama_2023_1TG0,MAMBA664,0.5703840604895823,0.5766657402384949,0.4072319223770127,0,0,0,48.33144450187683,94.99471116065979
