dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TB2:S10703Taxa9_processed,ESMC_300M,36,40,0.9,0.6373703479766846,0.6388256549835205
TB2:S10701Taxa16_processed,ESMC_300M,19,29,0.6551724137931034,0.4232170581817627,0.4244399070739746
TB2:S14082Taxa1_processed,ESMC_300M,87,125,0.696,1.4993736743927002,1.5056025981903076
TB2:S10169Taxa2_processed,ESMC_300M,95,99,0.9595959595959596,1.106163740158081,1.1100010871887207
TB2:S13791_processed,ESMC_300M,20,24,0.8333333333333334,0.30123114585876465,0.30215907096862793
TB2:S750Taxa2_processed,ESMC_300M,25,27,0.9259259259259259,0.38045167922973633,0.38144659996032715
TB2:S1179_processed,ESMC_300M,144,150,0.96,1.6171870231628418,1.6239402294158936
TB2:S13557Taxa2_processed,ESMC_300M,50,74,0.6756756756756757,0.807844877243042,0.8105447292327881
TB2:S11183Taxa3_processed,ESMC_300M,18,24,0.75,0.301067590713501,0.3020000457763672
TB2:S13458Taxa2_processed,ESMC_300M,11,25,0.44,0.3690605163574219,0.3701212406158447
TB2:S14151Taxa8_processed,ESMC_300M,17,29,0.5862068965517241,0.3983490467071533,0.3995850086212158
TB2:S679Taxa1_processed,ESMC_300M,74,90,0.8222222222222222,0.9697873592376709,0.9730982780456543
TB2:S11894_processed,ESMC_300M,100,112,0.8928571428571429,1.093966007232666,1.098799467086792
TB2:S12540Taxa3_processed,ESMC_300M,2,6,0.3333333333333333,0.12230896949768066,0.12265229225158691
TB2:S10218Taxa1_processed,ESMC_300M,16,22,0.7272727272727273,0.2729454040527344,0.273700475692749
TB2:S10632Taxa2_processed,ESMC_300M,4,14,0.2857142857142857,0.22491955757141113,0.22548866271972656
TB2:S1976Taxa5_processed,ESMC_300M,9,17,0.5294117647058824,0.256253719329834,0.25695037841796875
TB2:S2026Taxa1_processed,ESMC_300M,33,51,0.6470588235294118,0.774768590927124,0.7771525382995605
TB2:S13424Taxa4_processed,ESMC_300M,44,44,1.0,0.5098099708557129,0.511314868927002
TB2:S14595Taxa4_processed,ESMC_300M,165,203,0.812807881773399,2.274447441101074,2.2853760719299316
TB2:S14416_processed,ESMC_300M,190,344,0.5523255813953488,3.705901622772217,3.7308032512664795
TB2:S14752Taxa2_processed,ESMC_300M,26,36,0.7222222222222222,0.423600435256958,0.4248623847961426
