dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TB2:S10703Taxa9_processed,EVO2,40,40,1.0,2.0385875701904297,2.040126323699951
TB2:S10701Taxa16_processed,EVO2,19,29,0.6551724137931034,0.9447720050811768,0.9459834098815918
TB2:S14082Taxa1_processed,EVO2,89,125,0.712,5.045817613601685,5.052282094955444
TB2:S10169Taxa2_processed,EVO2,95,99,0.9595959595959596,6.4413793087005615,6.445348739624023
TB2:S13791_processed,EVO2,22,24,0.9166666666666666,0.5930905342102051,0.5940589904785156
TB2:S750Taxa2_processed,EVO2,23,27,0.8518518518518519,0.9457085132598877,0.946746826171875
TB2:S1179_processed,EVO2,140,150,0.9333333333333333,7.273952484130859,7.28121280670166
TB2:S13557Taxa2_processed,EVO2,64,74,0.8648648648648649,2.6637799739837646,2.6665761470794678
TB2:S11183Taxa3_processed,EVO2,20,24,0.8333333333333334,0.4226877689361572,0.4236783981323242
TB2:S13458Taxa2_processed,EVO2,13,25,0.52,2.583927869796753,2.5850346088409424
TB2:S14151Taxa8_processed,EVO2,17,29,0.5862068965517241,0.8500730991363525,0.8513596057891846
TB2:S679Taxa1_processed,EVO2,82,90,0.9111111111111111,3.212965488433838,3.2164247035980225
TB2:S11894_processed,EVO2,110,112,0.9821428571428571,3.5395779609680176,3.5443012714385986
TB2:S12540Taxa3_processed,EVO2,0,6,0.0,0.41800975799560547,0.4183685779571533
TB2:S10218Taxa1_processed,EVO2,20,22,0.9090909090909091,0.7544984817504883,0.7552905082702637
TB2:S10632Taxa2_processed,EVO2,6,14,0.42857142857142855,1.1317267417907715,1.1323251724243164
TB2:S1976Taxa5_processed,EVO2,11,17,0.6470588235294118,1.8003554344177246,1.8010704517364502
TB2:S2026Taxa1_processed,EVO2,39,51,0.7647058823529411,2.717963933944702,2.7204627990722656
TB2:S13424Taxa4_processed,EVO2,44,44,1.0,2.9560608863830566,2.9576528072357178
TB2:S14595Taxa4_processed,EVO2,183,203,0.9014778325123153,7.793471097946167,7.804969072341919
TB2:S14416_processed,EVO2,278,344,0.8081395348837209,2.478222370147705,2.5039315223693848
TB2:S14752Taxa2_processed,EVO2,32,36,0.8888888888888888,1.5610315799713135,1.5623791217803955
TB2:S14212_processed,EVO2,71,71,1.0,4.669076442718506,4.671990871429443
TB2:S362Taxa2_processed,EVO2,47,47,1.0,2.3526723384857178,2.3542978763580322
TB2:S1522_processed,EVO2,65,75,0.8666666666666667,1.9581825733184814,1.961155891418457
TB2:S9988_processed,EVO2,51,53,0.9622641509433962,1.613027572631836,1.6175682544708252
TB2:S14096Taxa3_processed,EVO2,25,29,0.8620689655172413,2.108947515487671,2.1101250648498535
TB2:S1557_processed,EVO2,42,44,0.9545454545454546,2.2073237895965576,2.208923101425171
TB2:S1641Taxa1_processed,EVO2,61,69,0.8840579710144928,1.5204660892486572,1.5237603187561035
TB2:S13715Taxa6_processed,EVO2,0,4,0.0,0.6120178699493408,0.6123747825622559
TB2:S923_processed,EVO2,75,77,0.974025974025974,4.150554895401001,4.153768539428711
TB2:S1759Taxa4_processed,EVO2,47,49,0.9591836734693877,2.560230016708374,2.5620224475860596
TB2:S10433Taxa3_processed,EVO2,98,132,0.7424242424242424,1.2596185207366943,1.2668139934539795
TB2:S10504Taxa1_processed,EVO2,18,20,0.9,1.7724063396453857,1.7732155323028564
TB2:S746Taxa3_processed,EVO2,31,31,1.0,1.003993272781372,1.0050842761993408
TB2:S2230_processed,EVO2,48,60,0.8,1.219393014907837,1.2215805053710938
TB2:S10126Taxa3_processed,EVO2,0,6,0.0,0.13191986083984375,0.1322929859161377
TB2:S11618Taxa5_processed,EVO2,21,27,0.7777777777777778,1.747514009475708,1.7486817836761475
TB2:S2184Taxa2_processed,EVO2,14,16,0.875,1.9992127418518066,2.0001211166381836
TB2:S2085Taxa1_processed,EVO2,4,10,0.4,0.6448047161102295,0.6453409194946289
TB2:S10128_processed,EVO2,34,40,0.85,3.9183573722839355,3.9201772212982178
