dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TF101006,ESM2_3B,80,104,0.7692307692307693,17.74567174911499,17.752445220947266
TF101008,ESM2_3B,28,40,0.7,3.827333688735962,3.8331682682037354
TF101032,ESM2_3B,102,114,0.8947368421052632,29.478979349136353,29.485516786575317
TF101037,ESM2_3B,2,2,1.0,1.4696598052978516,1.4770631790161133
TF101040,ESM2_3B,106,116,0.9137931034482759,4.895299673080444,4.901625633239746
TF101052,ESM2_3B,0,2,0.0,1.4397408962249756,1.4453575611114502
TF101054,ESM2_3B,18,22,0.8181818181818182,4.587826728820801,4.593366622924805
TF101057,ESM2_3B,52,72,0.7222222222222222,1.4007999897003174,1.4042749404907227
TF101061,ESM2_3B,172,200,0.86,40.282294034957886,40.29716897010803
TF101064,ESM2_3B,168,204,0.8235294117647058,26.543137311935425,26.558366775512695
TF101067,ESM2_3B,92,104,0.8846153846153846,9.842344522476196,9.84816861152649
TF101068,ESM2_3B,10,24,0.4166666666666667,2.4932432174682617,2.75740647315979
TF101070,ESM2_3B,10,12,0.8333333333333334,1.6234922409057617,1.6256473064422607
TF101072,ESM2_3B,90,106,0.8490566037735849,99.94919157028198,99.95624542236328
TF101075,ESM2_3B,70,88,0.7954545454545454,2.7553157806396484,2.7600836753845215
TF101076,ESM2_3B,134,148,0.9054054054054054,13.053131103515625,13.066199779510498
TF101077,ESM2_3B,10,40,0.25,2.91943097114563,2.9245333671569824
TF101082,ESM2_3B,94,118,0.7966101694915254,13.58877968788147,13.597350120544434
TF101083,ESM2_3B,78,92,0.8478260869565217,15.278816223144531,15.284454822540283
TF101084,ESM2_3B,158,194,0.8144329896907216,10.755572080612183,10.769980907440186
TF101085,ESM2_3B,34,42,0.8095238095238095,3.1410911083221436,3.146279811859131
TF101090,ESM2_3B,96,108,0.8888888888888888,31.735133409500122,31.742879629135132
TF101093,ESM2_3B,134,152,0.881578947368421,29.478413343429565,29.48926329612732
TF101096,ESM2_3B,90,112,0.8035714285714286,7.530709505081177,7.537698984146118
TF101103,ESM2_3B,100,130,0.7692307692307693,22.274637699127197,22.282958984375
TF101104,ESM2_3B,6,6,1.0,4.122686147689819,4.136890888214111
TF101105,ESM2_3B,126,170,0.7411764705882353,26.615872621536255,26.628611087799072
TF101106,ESM2_3B,168,218,0.7706422018348624,111.56257128715515,111.58002376556396
TF101107,ESM2_3B,6,10,0.6,0.972541093826294,0.983067512512207
TF101111,ESM2_3B,2,6,0.3333333333333333,0.8068423271179199,0.8088562488555908
TF101120,ESM2_3B,122,146,0.8356164383561644,6.6990883350372314,6.708831787109375
TF101125,ESM2_3B,176,214,0.822429906542056,10.23921823501587,10.26155948638916
TF101132,ESM2_3B,60,72,0.8333333333333334,14.7587251663208,14.762353420257568
TF101133,ESM2_3B,70,84,0.8333333333333334,75.4551134109497,75.45984601974487
TF101134,ESM2_3B,70,76,0.9210526315789473,3.598320960998535,3.602043867111206
TF101135,ESM2_3B,72,82,0.8780487804878049,50.98050093650818,50.98506736755371
TF101136,ESM2_3B,92,124,0.7419354838709677,5.734087944030762,5.741562366485596
TF101137,ESM2_3B,96,112,0.8571428571428571,18.244230270385742,18.25061869621277
TF101138,ESM2_3B,0,4,0.0,7.173828601837158,7.181555509567261
TF101140,ESM2_3B,116,148,0.7837837837837838,78.91839599609375,78.92786622047424
TF101146,ESM2_3B,2,2,1.0,1.1613845825195312,1.1660375595092773
TF101147,ESM2_3B,158,190,0.8315789473684211,15.714274644851685,15.728510856628418
TF101148,ESM2_3B,50,92,0.5434782608695652,8.077291250228882,8.084959983825684
TF101150,ESM2_3B,134,172,0.7790697674418605,6.809142827987671,6.820695638656616
TF101152,ESM2_3B,16,18,0.8888888888888888,3.962038516998291,3.967658281326294
TF101154,ESM2_3B,130,150,0.8666666666666667,102.90827226638794,102.91831159591675
TF101156,ESM2_3B,174,228,0.7631578947368421,102.89994788169861,102.92112302780151
TF101157,ESM2_3B,158,188,0.8404255319148937,56.11888813972473,56.132128953933716
TF101158,ESM2_3B,148,176,0.8409090909090909,66.49266052246094,66.50529861450195
TF101159,ESM2_3B,16,52,0.3076923076923077,8.579971313476562,8.585322141647339
TF101160,ESM2_3B,6,26,0.23076923076923078,10.984909534454346,10.989805221557617
TF101161,ESM2_3B,10,26,0.38461538461538464,9.871613025665283,9.877005577087402
TF101162,ESM2_3B,86,136,0.6323529411764706,57.21328926086426,57.22226619720459
TF101164,ESM2_3B,2,2,1.0,1.5782647132873535,1.5813970565795898
TF101166,ESM2_3B,2,4,0.5,3.0232841968536377,3.024367570877075
TF101167,ESM2_3B,24,58,0.41379310344827586,7.382561445236206,7.389454364776611
TF101168,ESM2_3B,144,168,0.8571428571428571,17.553250074386597,17.564468145370483
