dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TF101006,ESM3,90,104,0.8653846153846154,5.859868049621582,5.864133358001709
TF101008,ESM3,28,40,0.7,0.7640421390533447,0.7684817314147949
TF101032,ESM3,108,114,0.9473684210526315,2.4796738624572754,2.4843568801879883
TF101037,ESM3,0,2,0.0,0.15788745880126953,0.16292333602905273
TF101040,ESM3,114,116,0.9827586206896551,2.1588876247406006,2.163677215576172
TF101052,ESM3,0,2,0.0,0.14540719985961914,0.14931917190551758
TF101054,ESM3,20,22,0.9090909090909091,0.47295212745666504,0.4770174026489258
TF101057,ESM3,56,72,0.7777777777777778,1.329845905303955,1.3323581218719482
TF101061,ESM3,180,200,0.9,3.778477907180786,3.789781332015991
TF101064,ESM3,182,204,0.8921568627450981,3.4936251640319824,3.504829168319702
TF101067,ESM3,92,104,0.8846153846153846,1.9843127727508545,1.9883723258972168
TF101068,ESM3,6,24,0.25,0.4964132308959961,0.49852752685546875
TF101070,ESM3,12,12,1.0,0.29868316650390625,0.30010223388671875
TF101072,ESM3,86,106,0.8113207547169812,14.465210676193237,14.470951557159424
TF101075,ESM3,76,88,0.8636363636363636,1.5368118286132812,1.5402565002441406
TF101076,ESM3,134,148,0.9054054054054054,2.5681169033050537,2.5778582096099854
TF101077,ESM3,26,40,0.65,0.7715961933135986,0.7752685546875
TF101082,ESM3,110,118,0.9322033898305084,2.061347723007202,2.0677542686462402
TF101083,ESM3,84,92,0.9130434782608695,1.6459946632385254,1.6497893333435059
TF101084,ESM3,158,194,0.8144329896907216,3.2890820503234863,3.3000526428222656
TF101085,ESM3,36,42,0.8571428571428571,0.7897756099700928,0.793360710144043
TF101090,ESM3,102,108,0.9444444444444444,2.2888219356536865,2.295201063156128
TF101093,ESM3,136,152,0.8947368421052632,2.6630289554595947,2.670606851577759
TF101096,ESM3,108,112,0.9642857142857143,1.955925703048706,1.9611217975616455
TF101103,ESM3,112,130,0.8615384615384616,2.2995564937591553,2.3057801723480225
TF101104,ESM3,6,6,1.0,0.3774724006652832,0.3878002166748047
TF101105,ESM3,150,170,0.8823529411764706,2.9474549293518066,2.957014799118042
TF101106,ESM3,184,218,0.8440366972477065,9.294829368591309,9.307806491851807
TF101107,ESM3,10,10,1.0,0.277545690536499,0.28560519218444824
TF101111,ESM3,0,6,0.0,0.20052766799926758,0.20174741744995117
TF101120,ESM3,126,146,0.863013698630137,2.496258497238159,2.503340244293213
TF101125,ESM3,196,214,0.9158878504672897,3.6179351806640625,3.634730815887451
TF101132,ESM3,64,72,0.8888888888888888,1.4989783763885498,1.501638412475586
TF101133,ESM3,70,84,0.8333333333333334,10.193171262741089,10.197198867797852
TF101134,ESM3,68,76,0.8947368421052632,1.6320521831512451,1.6347928047180176
TF101135,ESM3,78,82,0.9512195121951219,6.5464277267456055,6.55009651184082
TF101136,ESM3,100,124,0.8064516129032258,2.1399857997894287,2.145204544067383
TF101137,ESM3,108,112,0.9642857142857143,1.9900627136230469,1.9947466850280762
TF101138,ESM3,0,4,0.0,0.8648269176483154,0.870307445526123
TF101140,ESM3,132,148,0.8918918918918919,8.811831712722778,8.818981885910034
TF101146,ESM3,2,2,1.0,0.13938665390014648,0.1426539421081543
TF101147,ESM3,162,190,0.8526315789473684,3.2489640712738037,3.259002447128296
TF101148,ESM3,68,92,0.7391304347826086,1.6189510822296143,1.6247584819793701
TF101150,ESM3,152,172,0.8837209302325582,2.9245870113372803,2.933384418487549
TF101152,ESM3,16,18,0.8888888888888888,0.4191758632659912,0.42330050468444824
TF101154,ESM3,138,150,0.92,10.16664457321167,10.174395322799683
TF101156,ESM3,180,228,0.7894736842105263,6.800165176391602,6.815806865692139
TF101157,ESM3,158,188,0.8404255319148937,5.278083086013794,5.2880494594573975
TF101158,ESM3,154,176,0.875,5.827510118484497,5.836851358413696
TF101159,ESM3,34,52,0.6538461538461539,0.9776496887207031,0.9814932346343994
TF101160,ESM3,16,26,0.6153846153846154,1.1407411098480225,1.1442933082580566
