dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TF101006,ESMC_300M,86,104,0.8269230769230769,2.132476568222046,2.1379904747009277
TF101008,ESMC_300M,32,40,0.8,0.6335384845733643,0.6390061378479004
TF101032,ESMC_300M,110,114,0.9649122807017544,1.6613562107086182,1.6674354076385498
TF101037,ESMC_300M,2,2,1.0,0.1187586784362793,0.12546157836914062
TF101040,ESMC_300M,108,116,0.9310344827586207,1.6735243797302246,1.680013656616211
TF101052,ESMC_300M,0,2,0.0,0.11734342575073242,0.12235903739929199
TF101054,ESMC_300M,18,22,0.8181818181818182,0.39032959938049316,0.39609694480895996
TF101057,ESMC_300M,56,72,0.7777777777777778,1.0854828357696533,1.0888113975524902
TF101061,ESMC_300M,168,200,0.84,2.835171699523926,2.8495099544525146
TF101064,ESMC_300M,174,204,0.8529411764705882,3.093231678009033,3.107773780822754
TF101067,ESMC_300M,94,104,0.9038461538461539,1.5112416744232178,1.516463279724121
TF101068,ESMC_300M,10,24,0.4166666666666667,0.41222167015075684,0.41495227813720703
TF101070,ESMC_300M,12,12,1.0,0.24303340911865234,0.24490094184875488
TF101072,ESMC_300M,80,106,0.7547169811320755,3.113844156265259,3.1203665733337402
TF101075,ESMC_300M,72,88,0.8181818181818182,1.2557902336120605,1.2602381706237793
TF101076,ESMC_300M,136,148,0.918918918918919,2.073230028152466,2.085400104522705
TF101077,ESMC_300M,26,40,0.65,0.6206824779510498,0.625760555267334
TF101082,ESMC_300M,108,118,0.9152542372881356,1.686901330947876,1.6955931186676025
TF101083,ESMC_300M,78,92,0.8478260869565217,1.337911605834961,1.3429055213928223
TF101084,ESMC_300M,160,194,0.8247422680412371,2.7412662506103516,2.7553963661193848
TF101085,ESMC_300M,32,42,0.7619047619047619,0.6523065567016602,0.6569254398345947
TF101090,ESMC_300M,104,108,0.9629629629629629,1.585536241531372,1.5940227508544922
TF101093,ESMC_300M,130,152,0.8552631578947368,2.167609691619873,2.1776785850524902
TF101096,ESMC_300M,100,112,0.8928571428571429,1.613609790802002,1.6206345558166504
TF101103,ESMC_300M,118,130,0.9076923076923077,1.8739964962005615,1.8819878101348877
TF101104,ESMC_300M,4,6,0.6666666666666666,0.18227839469909668,0.19610881805419922
TF101105,ESMC_300M,140,170,0.8235294117647058,2.3584532737731934,2.3710880279541016
TF101106,ESMC_300M,182,218,0.8348623853211009,3.94999098777771,3.966390371322632
TF101107,ESMC_300M,6,10,0.6,0.23009133338928223,0.24011826515197754
TF101111,ESMC_300M,0,6,0.0,0.16557884216308594,0.16716408729553223
TF101120,ESMC_300M,116,146,0.7945205479452054,2.072141408920288,2.0814106464385986
TF101125,ESMC_300M,188,214,0.8785046728971962,3.028219699859619,3.049923896789551
TF101132,ESMC_300M,62,72,0.8611111111111112,1.0764541625976562,1.0799334049224854
TF101133,ESMC_300M,74,84,0.8809523809523809,2.4527673721313477,2.457334518432617
TF101134,ESMC_300M,60,76,0.7894736842105263,1.1108005046844482,1.114377498626709
TF101135,ESMC_300M,74,82,0.9024390243902439,1.7661645412445068,1.7701997756958008
TF101136,ESMC_300M,98,124,0.7903225806451613,1.7626025676727295,1.7693586349487305
TF101137,ESMC_300M,108,112,0.9642857142857143,1.6260731220245361,1.6321141719818115
TF101138,ESMC_300M,0,4,0.0,0.24602198600769043,0.2542452812194824
TF101140,ESMC_300M,128,148,0.8648648648648649,2.9121546745300293,2.9211313724517822
TF101146,ESMC_300M,2,2,1.0,0.11340546607971191,0.11792778968811035
TF101147,ESMC_300M,158,190,0.8315789473684211,2.696864128112793,2.7097327709198
TF101148,ESMC_300M,52,92,0.5652173913043478,1.3492848873138428,1.3567707538604736
