dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TF101006,EVO2,100,104,0.9615384615384616,19.638484716415405,19.642739295959473
TF101008,EVO2,38,40,0.95,2.935142993927002,2.9395248889923096
TF101032,EVO2,110,114,0.9649122807017544,8.705974340438843,8.710602045059204
TF101037,EVO2,2,2,1.0,1.7068378925323486,1.7117979526519775
TF101040,EVO2,114,116,0.9827586206896551,4.5684168338775635,4.573080539703369
TF101052,EVO2,0,2,0.0,0.5675466060638428,0.5713672637939453
TF101054,EVO2,18,22,0.8181818181818182,1.6711170673370361,1.6750731468200684
TF101057,EVO2,70,72,0.9722222222222222,1.7981441020965576,1.800668478012085
TF101061,EVO2,192,200,0.96,12.624894618988037,12.635859966278076
TF101064,EVO2,192,204,0.9411764705882353,9.250799179077148,9.261945247650146
TF101067,EVO2,98,104,0.9423076923076923,4.477270126342773,4.817655801773071
TF101068,EVO2,20,24,0.8333333333333334,3.3070483207702637,3.3091394901275635
TF101070,EVO2,12,12,1.0,0.734107255935669,0.7355735301971436
TF101072,EVO2,100,106,0.9433962264150944,12.886146545410156,12.891158103942871
TF101075,EVO2,80,88,0.9090909090909091,3.3593926429748535,3.3627896308898926
TF101076,EVO2,142,148,0.9594594594594594,5.425814628601074,5.434931516647339
TF101077,EVO2,38,40,0.95,2.6059210300445557,2.6095244884490967
TF101082,EVO2,118,118,1.0,6.010837078094482,6.0170838832855225
TF101083,EVO2,90,92,0.9782608695652174,3.63015079498291,3.634342908859253
TF101084,EVO2,190,194,0.979381443298969,5.168233871459961,5.178880453109741
TF101085,EVO2,36,42,0.8571428571428571,1.9158060550689697,1.9193682670593262
TF101090,EVO2,104,108,0.9629629629629629,6.080852031707764,6.086590528488159
TF101093,EVO2,142,152,0.9342105263157895,9.018172025680542,9.025734663009644
TF101096,EVO2,110,112,0.9821428571428571,2.647413492202759,2.652461528778076
TF101103,EVO2,122,130,0.9384615384615385,6.595681190490723,6.601734161376953
TF101104,EVO2,4,6,0.6666666666666666,2.0885305404663086,2.0981125831604004
TF101105,EVO2,160,170,0.9411764705882353,6.091754674911499,6.1010284423828125
TF101106,EVO2,208,218,0.9541284403669725,20.726742029190063,20.73954200744629
TF101107,EVO2,10,10,1.0,0.42925143241882324,0.43688058853149414
